Cluster_name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec
ASCC 27,06 53 52,-04 23 23,217.11,-1.46,1200,10.68,0.09,8.75,,-30.6,24,,,-2.36,-3.72
ASCC 28,06 54 03,+00 10 11,213.38,0.5,800,9.67,0.05,8.34,,7,36,,22.7,-1.68,-1.1
ASCC 29,06 54 18,-01 39 00,214.72,-0.12,750,9.53,0.05,8.06,,-1.6,26.4,,13.5,-0.49,-0.35
ASCC 3,00 31 08,+55 16 47,120.02,-7.48,1700,11.68,0.17,7.9,,-221.3,25.2,,-37,-1.92,-1.25
ASCC 30,06 56 59,-06 12 36,219.09,-1.6,800,9.98,0.15,8.2,,-22.3,31.2,,,-2.89,0.6
ASCC 31,07 00 53,+03 30 00,210.89,3.69,600,9.36,0.15,8.63,,38.6,20.4,,,1.2,-1.38
ASCC 32,07 01 58,-26 30 00,237.88,-9.61,750,9.62,0.08,8.18,,-125.2,60,,,-3.39,1.97
ASCC 33,07 03 10,-25 02 59,236.67,-8.73,800,9.67,0.05,7.26,,-121.4,108,,15,-3.78,3.78
ASCC 34,07 10 30,+06 04 12,209.67,6.99,550,8.83,0.04,8.55,,66.9,36,,,-2.36,-1.87
ASCC 35,07 12 39,+02 07 11,213.46,5.68,800,9.7,0.06,8.49,,79.2,48,,,-2.68,-0.94
ASCC 36,07 14 31,-21 07 12,234.31,-4.64,750,9.38,0,8.51,,-60.7,21.6,,,-2.15,-0.87
ASCC 37,07 18 03,-24 28 47,237.69,-5.46,1600,11.02,0,8.73,,-152.2,19.2,,,-3.04,0.81
ASCC 38,07 27 10,-05 33 00,221.97,5.36,500,8.71,0.07,8.6,,46.7,31.2,,,-6.44,1.34
ASCC 39,07 33 00,-22 57 00,237.95,-1.72,1500,10.88,0,8.71,,-45,36,,,-3.37,1.85
ASCC 4,00 53 09,+61 34 48,123.13,-1.29,750,10.31,0.3,8.34,,-16.9,48,,-9.55,0.11,-1.48
ASCC 40,07 33 35,-13 45 36,229.97,2.84,700,9.57,0.11,8.58,,34.7,21.6,,,-2.07,2.7
ASCC 41,07 47 02,+00 01 11,219.35,12.35,370,7.9,0.02,8.44,,79.1,43.2,,,1.93,-3.93
ASCC 42,07 52 51,-53 00 35,266.41,-12.85,800,9.82,0.1,8.57,,-177.9,43.2,,,-3.76,8.25
ASCC 43,07 53 06,-28 10 12,244.73,-0.39,1000,10.31,0.1,8.28,,-6.8,42,,,-4.4,0.47
ASCC 44,08 01 40,-50 34 11,264.92,-10.47,1100,10.77,0.18,7.89,,-199.9,48,,17.8,-5.62,6.25
ASCC 45,08 15 50,-35 39 00,253.63,-0.31,3000,14.25,0.6,7.12,,-16.2,24,,43,-5.68,3.19
ASCC 46,08 16 33,-48 30 35,264.44,-7.33,900,10.08,0.1,7.71,,-114.8,48,,,-5.51,6.75
ASCC 47,08 31 47,-39 04 48,258.26,0.31,900,10.08,0.1,7.88,,4.9,60,,11,-8.94,5.2
ASCC 48,08 34 29,-37 36 36,257.39,1.61,400,8.01,0,9.09,,11.2,38.4,,22.5,-11.63,10.72
ASCC 49,08 47 52,-37 59 24,259.31,3.47,900,9.83,0.02,8.14,,54.5,54,,,-7.47,3.34
ASCC 5,00 57 57,+55 50 24,123.85,-7.02,1500,11.65,0.25,7.03,,-183.3,15.6,,-43,-3.1,-2.91
ASCC 50,08 50 16,-41 43 12,262.5,1.48,850,10.27,0.2,7.48,,22,48,,17.13,-6.39,3.85
ASCC 51,09 18 00,-69 41 24,286.24,-14.08,500,8.65,0.05,8.53,,-121.6,79.2,,,-8.28,7
ASCC 52,09 27 57,-54 15 35,275.96,-2.41,1500,11,0.04,8.75,,-63.1,32.4,,,-5.35,5.12
ASCC 53,09 37 55,-59 32 59,280.56,-5.36,2500,12.45,0.15,8.12,,-233.5,37.2,,,-4.94,3.94
ASCC 54,09 44 45,-54 26 23,277.9,-0.9,1200,10.55,0.05,8.84,,-18.8,26.4,,,-7.73,1.08
ASCC 55,09 54 17,-57 04 48,280.61,-2.09,1100,10.8,0.19,8.45,,-40.1,27.6,,,-1.13,2.27
ASCC 56,10 08 13,-64 22 12,286.39,-6.87,800,9.86,0.11,8.08,,-95.7,42,,,-7.61,3.57
ASCC 57,10 10 48,-66 40 48,287.97,-8.59,1500,11.28,0.13,8.7,,-224,45.6,,,-4.15,3.04
ASCC 58,10 15 07,-54 58 12,281.71,1.33,600,9.17,0.09,7.04,,13.9,48,,8,-12.89,3.15
ASCC 59,10 20 13,-57 39 00,283.78,-0.51,550,8.86,0.05,8.6,,-4.9,42,,,-4.99,3.65
ASCC 6,01 47 13,+57 43 47,130.34,-4.34,1200,11.33,0.3,8.17,,-90.8,36,,-20,-1.02,-1.18
ASCC 60,10 33 07,-58 28 47,285.67,-0.32,800,9.82,0.1,8.36,,-4.5,14.4,,-14.5,-7.35,2.36
ASCC 61,10 46 08,-56 51 36,286.41,1.94,1700,11.86,0.23,7.96,,57.5,38.4,,,-5.19,3.19
ASCC 62,10 50 52,-60 05 59,288.43,-0.66,3000,13.13,0.24,7.5,,-34.6,33.6,,-4.05,-8.72,1.68
ASCC 63,10 55 51,-60 24 35,289.12,-0.67,3500,14.11,0.45,7.24,,-40.9,18,,-142,-5.63,1.74
ASCC 64,11 03 03,-60 55 11,290.14,-0.77,1500,11.35,0.15,7.92,,-20.2,21.6,,-8.33,-5.88,1.44
ASCC 65,11 11 06,-61 07 11,291.11,-0.57,3500,13.96,0.4,7.09,,-34.8,26.4,,-13.4,-6.83,0.88
ASCC 66,11 13 37,-55 25 11,289.29,4.84,1000,10.31,0.1,7.76,,84.4,36,,,-13.76,3.31
ASCC 67,11 41 31,-61 01 12,294.56,0.71,1500,11.81,0.3,7.67,,18.6,24,,-18.6,-3.64,-0.77
ASCC 68,12 02 56,-60 55 11,297.07,1.4,650,9.38,0.1,8.65,,15.9,24,,,-4.81,3.71
ASCC 69,12 06 35,-69 46 11,299.04,-7.23,1000,10.53,0.17,7.91,,-125.9,48,,2,-7.52,-0.64
ASCC 7,01 58 55,+58 58 12,131.54,-2.77,2000,13.06,0.5,7.36,,-96.7,30,,-49,-0.57,-3.08
ASCC 70,12 15 00,-64 25 48,299.01,-1.83,2700,13.24,0.35,6.92,,-86.2,36,,-7.75,-5.55,-0.32
ASCC 71,12 20 42,-67 31 11,299.99,-4.82,1300,11.35,0.25,7.88,,-109.2,49.2,,,-7.73,-0.3
ASCC 72,12 33 00,-60 57 00,300.69,1.84,1100,10.7,0.16,8.13,,35.3,30,,,-4.99,-0.48
ASCC 73,12 36 35,-67 17 24,301.49,-4.46,650,9.22,0.05,8.19,,-50.5,48,,,-11.72,-0.88
ASCC 74,13 35 49,-58 48 36,308.66,3.57,550,8.86,0.05,8.5,,34.2,24,,,-12,-0.32
ASCC 75,13 47 09,-62 25 11,309.33,-0.24,3000,13.32,0.3,6.65,,-12.6,20.4,,-15,-3.97,-1.44
ASCC 76,13 52 15,-66 24 00,308.97,-4.24,600,9.73,0.27,7.45,,-44.4,42,,-14,-4.12,-3.34
ASCC 77,14 10 48,-62 19 48,312,-0.86,2200,12.64,0.3,6.99,,-33,38.4,,,-4.59,-1.49
ASCC 78,15 05 06,-68 23 23,314.77,-8.64,2400,11.9,0,8.48,,-360.5,19.2,,,-7.24,-2.54
ASCC 79,15 19 11,-60 43 47,320.04,-2.86,800,10.01,0.16,6.86,,-39.9,62.4,,4.03,-2.67,-4.1
ASCC 8,02 20 49,+59 36 36,134.02,-1.33,2200,13.42,0.55,6.76,,-51.1,36,,-42.09,-1.24,0.57
ASCC 80,15 24 35,-60 08 23,320.92,-2.73,1500,11.41,0.17,7.93,,-71.4,30,,-25,-2.6,-4.15
ASCC 81,15 46 55,-50 58 47,328.83,2.85,700,9.69,0.15,8.38,,34.8,31.2,,,-3.24,-5.65
ASCC 82,15 47 23,-64 24 36,320.55,-7.74,800,9.52,0,8.67,,-107.7,36,,,-2.96,-5.23
ASCC 83,15 50 13,-52 47 59,328.1,1.11,600,9.36,0.15,8.4,,11.6,25.2,,,-4,-4.92
ASCC 84,15 54 53,-60 44 24,323.56,-5.44,900,10.24,0.15,7.68,,-85.3,30,,-5,-1.74,-4.87
ASCC 85,16 47 31,-45 27 35,339.89,-0.21,1200,11.02,0.2,7.42,,-4.4,26.4,,7.09,-0.43,-4.01
ASCC 86,17 01 58,-59 00 35,330.63,-10.38,700,9.6,0.12,7.07,,-126.1,66,,-6,-3.34,-7.79
ASCC 87,17 02 59,-28 27 00,355.15,8.02,900,10.58,0.26,8.52,,125.6,66,,,0.89,-2.79
ASCC 88,17 06 46,-35 35 59,349.88,3.08,1900,12.94,0.5,7.17,,102.1,66,,1.75,2.89,-2
ASCC 89,17 23 16,-62 38 23,329.04,-14.56,500,8.81,0.1,7.03,,-125.7,132,,4,1.35,-8.31
ASCC 9,02 46 55,+57 43 47,137.87,-1.76,2900,15.1,0.9,6.79,,-89.1,20.4,,-41.75,0.76,-3.03
ASCC 90,17 39 07,-34 47 59,354.28,-1.91,500,9.43,0.3,8.81,,-16.7,43.2,,,-2.49,-3.64
ASCC 91,17 48 54,-37 21 36,353.13,-4.93,800,9.82,0.1,8.65,,-68.8,36,,,2.29,-4.92
ASCC 92,17 51 07,-11 52 48,15.35,7.63,650,9.84,0.25,9.01,,86.3,36,,,-7.68,-4.91
ASCC 93,18 08 13,-22 15 36,8.33,-1.04,2500,12.86,0.28,7.22,,-45.4,32.4,,-23.33,-2.18,-1.8
ASCC 94,18 15 36,-14 59 23,15.54,0.92,850,10.27,0.2,8.78,,13.6,30,,-26,0.38,-0.08
ASCC 95,18 16 04,-25 42 35,6.15,-4.27,1500,11.87,0.32,8.04,,-111.7,38.4,,,-1.16,-1.94
ASCC 96,18 20 05,-32 22 11,0.63,-8.14,750,9.84,0.15,8.27,,-106.2,30,,-35,-1.29,-4.71
ASCC 97,18 36 57,-19 13 11,14.16,-5.56,800,10.76,0.4,7.88,,-77.5,51.6,,,-2.09,-6.21
ASCC 98,18 42 35,-33 37 48,1.54,-12.94,800,9.64,0.04,8.33,,-179.1,78,,-54,0.69,-5.26
ASCC 99,18 49 04,-18 43 47,15.89,-7.91,280,7.7,0.15,8.71,,-38.5,27.6,,-31.29,6.9,-2.5
Auner 1,07 04 16,-19 45 00,231.997,-6.155,8900,15.74,0.32,9.51,,-954.2,3,,,,
Aveni-Hunter 1,23 37 48,+48 31 12,110.55,-12.58,500,8.8,0.1,8.26,,-108.9,47,,,,
Back to WEBDA home page ,,,,,,,,,,,,,,,
Barkhatova 1,20 53 42,+46 02 00,86.217,0.802,,,,,,,4,,,,
Barkhatova 2,21 44 18,+51 13 00,95.587,-1.548,,,,,,,4,,,,
Basel 1,18 48 12,-05 51 00,27.355,-1.947,2178,13.18,0.482,7.893,B4,-74,5,,,,
Basel 10,02 18 48,+58 19 00,134.3,-2.615,1944,13.84,0.774,7.608,,-88.7,2,,,,
Basel 11a,07 17 06,-13 58 00,228.256,-0.776,1520,10.91,0,8.3,,-20.6,5,,,,
Basel 11b,05 58 12,+21 58 00,187.442,-1.114,1692,12.12,0.315,7.816,,-32.9,3,,,,
Basel 12,21 10 30,+46 14 00,88.295,-1.246,1466,12.6,0.57,8.5,,-31.9,4,,,,
Basel 13,21 12 18,+46 34 00,88.75,-1.244,1236,11.51,0.34,8.8,,-26.8,10,,,,
Basel 14,21 21 18,+44 49 00,88.589,-3.591,964,11.94,0.65,8.3,,-60.4,5,,,,
Basel 15,21 15 54,+48 51 00,90.82,-0.105,1355,12.74,0.67,8.5,,-2.5,6,,,,
Basel 17,11 10 34,-59 02 00,290.265,1.335,,,,,,,10,,,,
Basel 18,13 28 18,-62 21 00,307.194,0.216,2226,13.33,0.515,7.59,,8.4,3,,,,
Basel 20,09 31 08,-56 25 00,277.776,-3.666,2024,12.79,0.406,7.419,,-121.5,10,,,,
Basel 4,05 48 30,+30 13 00,179.23,1.199,3000,13.78,0.45,8.3,B2,118.7,5,,,,
Basel 5,17 52 27,-30 06 00,359.767,-1.873,766,10.41,0.32,8.87,,-25,5,,,,
Basel 6,20 06 48,+38 21 00,74.906,3.298,1548,12.75,0.58,7.977,,89.1,7,,,,
Basel 7,06 36 36,+08 21 00,203.816,0.53,1684,12.36,0.396,8.033,,15.6,5,,,,
Basel 8,06 34 12,+08 05 00,203.779,-0.12,1328,11.76,0.37,8.102,,-2.8,29,,,,
Berkeley 1,00 09 36,+60 28 30,117.796,-1.979,2420,14.35,0.78,8.6,,-83.6,5,,,,
Berkeley 10,03 39 32,+66 29 09,138.616,8.879,2290,14.5,0.87,8.8,,350,10,,,,
Berkeley 100,23 25 58,+63 46 48,113.66,2.458,3355,16.38,1.21,8.2,,143.9,2,,,,
Berkeley 101,23 32 47,+64 12 30,114.504,2.631,2500,15.43,1.11,8.85,,114.8,2,,,,
Berkeley 102,23 38 42,+56 38 00,113.013,-4.831,2600,14.2,0.69,8.78,,-219,5,,,,
Berkeley 103,23 45 12,+59 18 00,114.557,-2.49,2100,14.7,1,8.7,,-91.2,2,,,,
Berkeley 104,00 03 30,+63 35 00,117.63,1.206,4365,14.59,0.45,8.89,,91.9,3,0.07,,,
Berkeley 11,04 20 36,+44 55 00,157.082,-3.642,2881,15.23,0.947,7.719,,-183,5,,,1.45,-2.37
Berkeley 12,04 44 36,+42 41 00,161.67,-1.991,3162,14.67,0.7,9.67,,-109.9,4,0.07,,,
Berkeley 13,04 55 52,+52 48 00,155.066,5.927,2470,14.01,0.66,9,,254.9,7,,,,
Berkeley 14,05 00 12,+43 28 00,162.873,0.707,5500,15.31,0.52,9.2,,67.9,5,,,,
Berkeley 15,05 02 06,+44 30 43,162.258,1.619,3300,15.32,0.88,8.4,,93.2,8,,,,
Berkeley 17,05 20 36,+30 36 00,175.646,-3.648,2700,14.33,0.7,10.08,,-171.8,7,-0.33,-84,,
Berkeley 18,05 22 12,+45 24 00,163.631,5.017,5800,15.24,0.46,9.63,,507.2,12,0.02,,,
Berkeley 19,05 24 06,+29 36 00,176.901,-3.588,4831,14.66,0.4,9.49,,-302.3,4,,,,
Berkeley 2,00 25 18,+60 24 00,119.707,-2.308,5250,16.08,0.8,8.9,,-211.4,2,,,,
Berkeley 20,05 33 00,+00 13 00,203.483,-17.373,8400,14.99,0.12,9.78,,-2508.2,2,-0.75,,,
Berkeley 21,05 51 42,+21 47 00,186.84,-2.509,5000,15.85,0.76,9.34,,-218.9,5,-0.83,,,
Berkeley 22,05 58 24,+07 50 00,199.877,-8.079,7663,16.59,0.7,9.027,,-1076.9,1,-0.3,,,
Berkeley 23,06 33 30,+20 33 00,192.606,5.446,6918,15.44,0.4,8.9,,656.6,4,0.07,,,
Berkeley 24,06 37 42,-00 55 00,210.592,-2.636,,,,,,,5,,,,
Berkeley 25,06 41 16,-16 29 12,226.61,-9.69,11300,15.79,0.17,9.6,,-1902,2,-0.38,,,
Berkeley 26,06 50 15,+05 43 48,207.694,2.346,4300,15.5,0.75,9.6,,176,4,,,,
Berkeley 27,06 51 18,+05 46 00,207.78,2.595,5035,14.25,0.05,9.3,B8,228,2,,,,
Berkeley 28,06 52 12,+02 56 00,210.407,1.507,2557,14.4,0.761,7.846,,67.2,3,,,,
Berkeley 29,06 53 18,+16 55 00,197.983,8.025,14871,13.92,0.157,9.025,,680,6,-0.18,,,
Berkeley 30,06 57 42,+03 13 00,210.78,2.858,4790,14.95,0.5,8.48,B0,238.8,3,,,,
Berkeley 31,06 57 36,+08 16 00,206.254,5.12,8272,14.84,0.08,9.313,,738.2,5,-0.5,61,-4.3,-3.97
Berkeley 32,06 58 06,+06 26 00,207.952,4.404,3100,12.95,0.16,9.53,,238,6,-0.58,101,,
Berkeley 33,06 57 42,-13 13 00,225.424,-4.622,7000,15,0.3,8.9,,-564.1,4,,,,
Berkeley 34,07 00 24,-00 15 00,213.731,2.108,7280,15.8,0.45,9.45,,238,2,,,,
Berkeley 35,07 09 55,+02 44 00,212.602,5.351,,,,,,,2,,,,
Berkeley 36,07 16 06,-13 06 00,227.376,-0.587,6140,15.3,0.4,9.5,,-62,5,,,,
Berkeley 37,07 20 24,-01 06 00,217.23,5.935,4555,13.65,0.12,8.95,,471,4,,,,
Berkeley 39,07 46 42,-04 36 00,223.462,10.095,4780,13.77,0.12,9.9,,837.8,7,-0.17,55,,
Berkeley 4,00 45 01,+64 23 05,122.238,1.522,2460,14.53,0.83,7.1,,65.3,24,,,-1.29,0.12
Berkeley 42,19 05 06,+01 53 00,36.167,-2.178,1826,13.66,0.76,9.325,,-69.4,5,,,,
Berkeley 43,19 15 36,+11 13 00,45.652,-0.182,1355,15.37,1.52,8.6,,-4.3,5,,,,
Berkeley 44,19 17 12,+19 33 00,53.212,3.354,1800,15.62,1.4,9.11,,105.3,2,,,,
Berkeley 45,19 19 12,+15 43 00,50.04,1.145,2300,14.35,0.82,8.78,,46,2,,,,
Berkeley 47,19 28 36,+17 22 06,52.561,-0.058,1420,14.05,1.06,8.2,,-1.4,3,,,,
Berkeley 49,19 59 31,+34 38 48,70.985,2.575,2035,16.4,1.57,8.2,,91.4,4,,,,
Berkeley 5,01 47 48,+62 56 00,129.293,0.76,6200,18,1.3,8.9,,82.2,5,,,,
Berkeley 50,20 10 24,+34 58 00,72.451,0.859,2100,14.62,0.97,8.4,,31.5,2,,,,
Berkeley 51,20 11 54,+34 24 06,72.147,0.291,3200,17.67,1.66,8.18,,16.3,2,,,,
Berkeley 52,20 14 18,+28 58 00,67.891,-3.13,4900,18.1,1.5,9.3,,-267.5,2,,,,
Berkeley 53,20 55 56,+51 02 48,90.293,3.749,3100,17.17,1.52,9.09,,202.7,12,,,,
Berkeley 54,21 03 12,+40 28 00,83.129,-4.143,2300,14.2,0.77,9.6,,-166.2,4,,,,
Berkeley 55,21 16 58,+51 45 32,93.027,1.798,1210,15.81,1.74,8.5,,38,5,,,,
Berkeley 56,21 17 42,+41 54 00,86.044,-5.17,12100,16.65,0.4,9.6,,-1090.3,3,,,,
