#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-07-02T20:26:12 [V1.99+ (14-Oct-2013)]
Cluster,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
ASCC_10          ,51.87,34.981,0.558,65,-1.737,-1.368,1.459,NN            ,8.42,0.63,9.1,660,-573,258,-201,8917,[KPR2005] 10                   ,51.87,34.981
ASCC_101         ,288.399,36.369,0.372,69,0.934,1.288,2.488,NN            ,8.69,0.19,8.08,412,151,374,83,8197,[KPR2005] 101                  ,288.399,36.369
ASCC_105         ,295.548,27.366,0.648,113,1.464,-1.635,1.783,NN            ,7.87,0.41,8.77,567,259,504,20,8096,[KPR2005] 105                  ,295.548,27.366
ASCC_107         ,297.164,21.987,0.174,57,-0.155,-5.156,1.109,NN            ,7.23,1.69,9.7,870,449,744,-28,7925,[KPR2005] 107                  ,297.164,21.987
ASCC_108         ,298.306,39.349,0.537,188,-0.519,-1.69,0.838,NN            ,8.03,0.34,10.32,1160,310,1110,122,8105,[KPR2005] 108                  ,298.306,39.349
ASCC_11          ,53.056,44.856,0.312,245,0.926,-3.03,1.141,NN            ,8.39,0.6,9.69,867,-745,421,-139,9095,[KPR2005] 11                   ,53.056,44.856
ASCC_110         ,300.742,33.528,0.203,65,0.271,-3.132,0.497,NN            ,8.9,0.75,11.47,1971,660,1856,47,7900,[KPR2005] 110                  ,300.742,33.528
ASCC_111         ,302.891,37.515,0.537,136,-1.15,-1.524,1.166,NN            ,8.44,0.39,9.65,851,224,820,30,8157,[KPR2005] 111                  ,302.891,37.515
ASCC_113         ,317.933,38.638,0.529,175,0.8,-3.679,1.762,NN            ,8.46,0.13,8.75,563,69,555,-64,8289,[KPR2005] 113                  ,317.933,38.638
ASCC_114         ,324.99,53.997,0.216,134,-3.716,-3.421,1.066,NN            ,7.68,0.92,9.79,908,-111,901,16,8499,[KPR2005] 114                  ,324.99,53.997
ASCC_115         ,329.28,51.558,0.25,32,-0.549,-0.543,1.311,NN            ,8.12,0.72,9.32,731,-95,724,-31,8466,[KPR2005] 115                  ,329.28,51.558
ASCC_12          ,72.4,41.744,0.303,139,-0.634,-2.794,0.941,NN            ,7.97,0.7,10.1,1048,-1002,306,-34,9347,[KPR2005] 12                   ,72.4,41.744
ASCC_123         ,340.299,53.986,1.294,49,12.093,-1.407,4.262,NN            ,7.65,0,6.81,229,-57,222,-16,8400,[KPR2005] 123                  ,340.2989,53.986
ASCC_127         ,347.205,64.974,0.627,117,7.474,-1.745,2.633,NN            ,7.26,0.43,7.88,376,-142,347,27,8490,[KPR2005] 127                  ,347.2049,64.974
ASCC_128         ,349.949,54.435,0.513,68,1.236,0.186,1.509,NN            ,8.4,0.41,9.13,669,-225,626,-70,8587,[KPR2005] 128                  ,349.949,54.435
ASCC_13          ,78.255,44.417,0.609,85,-0.473,-1.743,0.898,NN            ,7.5,0.7,10.24,1115,-1067,316,60,9412,[KPR2005] 13                   ,78.255,44.417
ASCC_16          ,81.198,1.655,0.376,175,1.355,-0.015,2.838,NN            ,7.13,0.2,7.69,344,-305,-118,-108,8646,[KPR2005] 16                   ,81.198,1.655
ASCC_19          ,81.982,-1.987,0.605,149,1.152,-1.234,2.768,NN            ,7.02,0.13,7.7,346,-296,-137,-115,8637,[KPR2005] 19                   ,81.982,-1.987
ASCC_21          ,82.179,3.527,0.41,90,1.404,-0.632,2.866,NN            ,6.95,0.1,7.66,341,-307,-111,-97,8647,[KPR2005] 21                   ,82.179,3.527
ASCC_23          ,95.047,46.71,0.319,120,1.098,-0.598,1.594,NN            ,8.37,0.34,9,630,-595,132,156,8936,[KPR2005] 23                   ,95.047,46.71
ASCC_29          ,103.571,-1.67,0.137,46,-1.008,-1.019,0.944,NN            ,7.97,0.19,10.12,1057,-869,-602,-2,9229,[KPR2005] 29                   ,103.571,-1.67
ASCC_30          ,104.271,-6.23,0.27,46,-1.595,-0.171,0.897,NN            ,8.24,0.35,10.14,1067,-827,-673,-29,9192,[KPR2005] 30                   ,104.271,-6.23
ASCC_32          ,105.714,-26.512,0.656,186,-3.307,3.477,1.23,NN            ,7.4,0.26,9.53,805,-421,-673,-132,8787,[KPR2005] 32                   ,105.714,-26.512
ASCC_41          ,116.674,0.137,0.679,123,0.646,-3.99,3.352,NN            ,8.33,0,7.39,300,-227,-185,64,8569,[KPR2005] 41                   ,116.674,0.137
ASCC_58          ,153.657,-55.001,0.592,133,-13.276,2.786,2.06,NN            ,7.72,0.25,8.46,491,99,-480,10,8254,[KPR2005] 58                   ,153.6571,-55.001
ASCC_6           ,26.846,57.722,0.188,111,-0.838,0.211,0.621,NN            ,7.54,0.72,11.01,1590,-1027,1208,-120,9444,[KPR2005] 6                    ,26.846,57.722
ASCC_66          ,168.367,-55.437,0.097,22,-11.331,2.969,0.999,NN            ,7.77,0.07,9.94,971,319,-913,81,8072,[KPR2005] 66                   ,168.3671,-55.437
ASCC_67          ,175.28,-61.013,0.183,26,-6.766,0.919,0.482,NN            ,7.57,0.58,11.5,1999,829,-1818,24,7727,[KPR2005] 67                   ,175.2801,-61.013
ASCC_71          ,185.033,-67.509,0.255,76,-9.272,-1.351,0.786,NN            ,8.11,0.53,10.52,1269,631,-1096,-106,7786,[KPR2005] 71                   ,185.0331,-67.509
ASCC_73          ,189.281,-67.203,0.988,57,-11.539,-2.945,1.518,NN            ,8.53,0.23,9.08,655,341,-556,-49,8017,[KPR2005] 73                   ,189.2811,-67.203
ASCC_77          ,212.694,-62.331,0.179,141,-4.243,-3.22,0.842,NN            ,7.91,0.64,10.28,1136,760,-844,-17,7626,[KPR2005] 77                   ,212.694,-62.331
ASCC_79          ,229.731,-60.798,0.98,113,-2.914,-4.232,1.176,NN            ,7.27,0.41,9.58,825,631,-529,-41,7727,[KPR2005] 79                   ,229.731,-60.798
ASCC_85          ,251.853,-45.555,0.357,105,0.17,-4.102,1.119,NN            ,7.85,0.56,9.59,829,778,-286,-3,7567,[KPR2005] 85                   ,251.853,-45.555
ASCC_87          ,255.658,-28.421,0.347,45,-1.18,-3.814,1.27,NN            ,7.92,0.57,9.45,774,764,-65,109,7575,[KPR2005] 87                   ,255.658,-28.421
ASCC_88          ,256.886,-35.564,0.372,121,0.919,-3.282,1.097,NN            ,8.39,1.45,9.85,931,916,-161,48,7425,[KPR2005] 88                   ,256.886,-35.564
ASCC_9           ,41.671,57.743,0.215,48,0.166,-1.099,0.406,NN            ,7.47,2.23,11.88,2376,-1760,1594,-72,10225,[KPR2005] 9                    ,41.671,57.743
ASCC_90          ,264.777,-34.874,0.388,58,-1.63,-2.681,1.713,NN            ,8.91,0.32,8.73,557,554,-56,-19,7785,[KPR2005] 90                   ,264.777,-34.874
ASCC_97          ,279.263,-19.139,0.14,20,-2.331,-6.508,1.74,manual        ,8.05,1.17,8.89,598,577,146,-57,7763,[KPR2005] 97                   ,279.263,-19.139
ASCC_99          ,282.17,-18.488,0.643,63,5.188,-1.311,3.367,NN            ,8.55,0.47,7.28,285,271,78,-38,8068,[KPR2005] 99                   ,282.17,-18.488
Alessi_1         ,13.343,49.536,0.249,45,6.536,-6.245,1.39,NN            ,9.16,0.08,9.19,689,-367,561,-159,8726,Cl Alessi 1                    ,13.343,49.536
Alessi_10        ,301.233,-10.555,0.266,70,1.469,-7.879,2.233,NN            ,7.96,0.33,8.36,469,373,229,-168,7969,Cl Alessi 10                   ,301.233,-10.555
Alessi_12        ,310.875,23.871,0.682,307,4.303,-4.639,1.816,NN            ,8.13,0.1,8.68,544,204,493,-107,8150,Cl Alessi 12                   ,310.875,23.871
Alessi_13        ,51.762,-35.821,1.361,48,36.332,-4.709,9.584,manual        ,7.55,0.1,5.11,105,-31,-49,-87,8371,Cl Alessi 13                   ,51.7618,-35.821
Alessi_15        ,100.767,1.672,0.008,17,-0.182,0.469,0.093,NN            ,7.53,2.18,14.01,6338,-5461,-3215,-121,14170,Cl Alessi 15                   ,100.767,1.672
Alessi_17        ,113.853,-15.098,0.022,15,-1.526,1.557,0.264,notEnoughStars,     ,     ,     ,      ,       ,       ,      ,      ,Cl Alessi 17                   ,113.853,-15.098
Alessi_18        ,114.295,-26.386,0.019,24,-1.261,1.79,0.126,NN            ,6.71,2.48,14.29,7199,-3440,-6315,-320,13366,Cl Alessi 18                   ,114.295,-26.386
Alessi_19        ,274.741,12.311,0.595,60,-1.005,-7.073,1.71,NN            ,7.41,0.31,8.79,573,425,362,126,7922,Cl Alessi 19                   ,274.741,12.311
Alessi_2         ,71.602,55.199,0.554,159,-0.904,-1.046,1.589,NN            ,8.55,0.52,9.09,657,-578,303,72,8923,Cl Alessi 2                    ,71.602,55.199
Alessi_20        ,2.593,58.742,0.235,119,8.195,-2.341,2.311,NN            ,6.97,0.6,8.08,412,-190,364,-26,8538,Cl Alessi 20                   ,2.5929,58.742
Alessi_21        ,107.69,-9.363,0.467,113,-5.475,2.602,1.72,NN            ,7.82,0.29,8.85,587,-426,-404,0,8776,Cl Alessi 21                   ,107.69,-9.363
Alessi_24        ,260.764,-62.693,0.466,156,-0.488,-8.999,2.059,NN            ,7.86,0.34,8.5,502,416,-250,-126,7927,Cl Alessi 24                   ,260.764,-62.693
Alessi_3         ,109.275,-46.142,1.541,164,-9.875,11.958,3.566,NN            ,8.8,0.14,7.37,297,-62,-280,-77,8407,Cl Alessi 3                    ,109.2751,-46.1421
Alessi_31        ,267.698,-11.853,0.331,165,-1.164,-4.122,1.477,NN            ,8.38,1.75,9.26,712,680,186,95,7661,Cl Alessi 31                   ,267.698,-11.853
Alessi_37        ,341.961,46.342,0.423,133,0.351,-1.569,1.384,NN            ,8.14,0.47,9.21,695,-138,667,-137,8504,Cl Alessi 37                   ,341.961,46.342
Alessi_43        ,132.631,-41.738,0.29,284,-5.546,3.869,1.032,NN            ,7.06,0.99,9.81,917,-119,-909,24,8507,Cl Alessi 43                   ,132.631,-41.738
Alessi_44        ,295.325,1.592,1.296,175,0.463,-2.325,1.496,manual        ,8.35,0.71,9.16,679,511,430,-121,7840,Cl Alessi 44                   ,295.325,1.592
Alessi_5         ,160.819,-61.081,0.542,297,-15.411,2.503,2.501,NN            ,7.83,0.62,8.14,424,131,-402,-14,8218,Cl Alessi 5                    ,160.8191,-61.081
Alessi_53        ,97.352,9.18,0.022,27,0.431,-0.201,0.198,NN            ,7.88,1.93,13.79,5736,-5308,-2172,-66,13820,Cl Alessi 53                   ,97.352,9.18
Alessi_59        ,103.078,2.196,0.006,10,-0.54,0.283,0.227,notEnoughStars,     ,     ,     ,      ,       ,       ,      ,      ,Cl Alessi 59                   ,103.078,2.196
Alessi_6         ,220.058,-66.127,0.294,164,-10.472,-5.559,1.1,NN            ,8.63,0.7,9.74,886,608,-638,-85,7757,Cl Alessi 6                    ,220.0581,-66.127
Alessi_60        ,105.619,-1.12,0.048,67,-0.83,-0.653,0.336,NN            ,8.35,0.83,12.35,2953,-2412,-1700,100,10885,Cl Alessi 60                   ,105.619,-1.12
Alessi_62        ,284.026,21.597,0.256,142,0.245,-1.074,1.591,NN            ,8.84,0.78,9.07,650,388,512,98,7967,Cl Alessi 62                   ,284.026,21.597
Alessi_8         ,232.408,-51.227,0.224,50,-5.899,-5.729,1.479,NN            ,8.07,0.19,9.12,668,555,-367,49,7792,Cl Alessi 8                    ,232.408,-51.227
Alessi_9         ,265.974,-47.028,1.73,183,9.916,-9.157,4.822,NN            ,8.45,0,6.66,215,204,-57,-33,8135,Cl Alessi 9                    ,265.9739,-47.028
Alessi_Teutsch_11,304.127,52.051,0.257,110,-0.139,-1.295,1.52,NN            ,8.16,0.37,9.01,634,28,625,102,8335,Name Alessi Teutsch 11         ,304.127,52.051
Alessi_Teutsch_12,255.421,-58.981,0.489,41,-2.134,-8.952,1.632,NN            ,7.94,0.35,9.03,641,549,-309,-115,7796,Name Alessi-Teutsch 12         ,255.421,-58.981
Alessi_Teutsch_3 ,118.228,-53.022,0.491,87,-5.378,8.926,1.417,NN            ,8.02,0.47,9.2,693,-42,-674,-154,8409,Name Alessi Teutsch 3          ,118.228,-53.022
Alessi_Teutsch_5 ,332.218,61.103,0.427,127,-1.895,-3.207,1.111,NN            ,7.27,1.02,9.79,907,-227,876,66,8611,Name Alessi-Teutsch 5          ,332.218,61.103
Alessi_Teutsch_8 ,180.649,-60.935,0.298,319,-6.625,1.63,0.967,NN            ,8.07,0.49,9.98,989,449,-881,23,7939,Name Alessi Teutsch 8          ,180.6491,-60.935
Andrews_Lindsay_5,281.079,-4.931,0.023,58,-0.901,-3.562,0.137,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,[AL67] Cl* 5                   ,281.079,-4.931
Antalova_2       ,262.462,-32.541,0.097,27,2.037,-1.65,0.842,NN            ,7.08,1.15,10.12,1056,1052,-89,17,7287,Cl Antalova 2                  ,262.462,-32.541
Archinal_1       ,283.709,5.55,0.04,65,-0.225,-1.578,0.526,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,Name Archinal 1                ,283.709,5.55
Arp_Madore_2     ,114.683,-33.845,0.026,29,-0.513,1.225,0.039,NN            ,9.48,1.49,15.35,11751,-4355,-10848,-1204,16699,Cl AM 2                        ,114.683,-33.845
Auner_1          ,106.06,-19.748,0.026,41,-0.28,1.015,0.093,NN            ,9.49,0.99,14.77,8984,-5500,-7038,-964,15527,Cl Auner 1                     ,106.06,-19.748
Aveni_Hunter_1   ,354.175,48.205,0.496,82,-0.184,-2.087,2.348,NN            ,7.02,0.75,8.03,402,-136,368,-89,8484,Cl AH 1                        ,354.175,48.205
BDSB30           ,333.667,61.433,0.024,33,-1.579,-3.005,1.109,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,[BDS2003] 30                   ,333.667,61.433
BDSB91           ,96.319,-10.551,0.036,32,-3.183,1.15,1.033,NN            ,7.15,1.8,9.91,961,-729,-600,-176,9089,[BDS2003] 91                   ,96.319,-10.551
BDSB93           ,104.297,-8.202,0.036,32,-2.41,1.021,0.77,NN            ,7.2,1.77,10.39,1196,-903,-782,-51,9276,[BDS2003] 93                   ,104.297,-8.202
BDSB96           ,106.332,-12.327,0.045,65,-3.843,1.071,0.844,manual        ,6.9,1.22,10.29,1144,-801,-815,-51,9178,[BDS2003] 96                   ,106.332,-12.327
BH_111           ,167.32,-63.834,0.029,27,-8.176,2.941,0.339,NN            ,8.29,1.28,12.27,2850,1064,-2639,-157,7739,Cl VDBH 111                    ,167.3201,-63.834
BH_118           ,170.765,-58.549,0.023,61,-4.406,1.45,0.065,NN            ,9.28,1.07,14.72,8807,3240,-8181,363,9641,Cl VDBH 118                    ,170.765,-58.549
BH_121           ,174.661,-63.387,0.154,174,-6,0.63,0.387,NN            ,6.42,1.11,11.91,2413,1015,-2188,-69,7644,Cl VDBH 121                    ,174.6611,-63.387
BH_132           ,186.72,-64.058,0.046,52,-6.22,-0.177,0.362,manual        ,8.2,1.24,12.03,2541,1279,-2194,-58,7393,Cl VDBH 132                    ,186.7201,-64.058
BH_144           ,198.808,-65.92,0.024,73,-5.111,-0.375,0.045,NN            ,9.17,1.68,14.92,9649,5575,-7857,-532,8329,Cl VDBH 144                    ,198.8081,-65.92
BH_150           ,204.506,-63.346,0.025,43,-6.395,-1.534,0.178,NN            ,7.34,3.76,13.73,5580,3445,-4389,-92,6574,Cl VDBH 150                    ,204.5061,-63.346
BH_151           ,205.051,-61.731,0.008,29,-5.853,-1.878,0.176,NN            ,7.2,4.06,13.49,4989,3117,-3895,51,6515,Cl VDBH 151                    ,205.0511,-61.731
BH_164           ,222.311,-66.465,0.639,204,-7.368,-10.714,2.364,NN            ,7.51,0.17,8.21,438,304,-311,-47,8041,Cl VDBH 164                    ,222.3111,-66.465
BH_19            ,121.768,-32.355,0.025,45,-2.897,3.547,0.19,NN            ,8.49,1.96,13.3,4563,-1569,-4285,-1,10796,Cl VDBH 19                     ,121.768,-32.355
BH_200           ,252.484,-44.182,0.054,94,-0.025,-1.132,0.406,NN            ,8.21,2.02,11.82,2314,2190,-747,11,6194,Cl VDBH 200                    ,252.484,-44.182
BH_202           ,253.779,-40.947,0.064,95,-1.869,-3.802,0.551,NN            ,8.58,1.84,11.22,1752,1686,-475,48,6670,Cl VDBH 202                    ,253.779,-40.947
BH_205           ,254.053,-40.636,0.097,55,-0.15,-1.083,0.569,NN            ,6.79,1.23,11.03,1604,1546,-425,45,6806,Cl VDBH 205                    ,254.053,-40.636
BH_211           ,255.535,-41.113,0.082,71,-0.671,-1.943,0.524,NN            ,8.63,2.18,11.4,1903,1837,-494,15,6520,Cl VDBH 211                    ,255.535,-41.113
BH_217           ,259.071,-40.815,0.039,99,-0.661,-1.826,0.31,NN            ,7.54,3.27,12.46,3106,3023,-710,-81,5363,Cl VDBH 217                    ,259.071,-40.815
BH_221           ,259.641,-32.334,0.152,133,2,-1.568,0.884,NN            ,7.03,1.09,10.42,1213,1204,-127,63,7136,Cl VDBH 221                    ,259.641,-32.334
BH_222           ,259.694,-38.289,0.02,104,-2.091,-3.192,0.114,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,Cl VDBH 222                    ,259.694,-38.289
BH_23            ,123.449,-36.329,0.372,86,-7.101,7.35,2.257,NN            ,7.46,0,8.32,462,-127,-444,-8,8479,Cl VDBH 23                     ,123.449,-36.329
BH_245           ,266.561,-29.7,0.016,31,-0.497,-2.194,0.336,tooRed        ,     ,     ,     ,      ,       ,       ,      ,      ,Cl VDBH 245                    ,266.561,-29.7
BH_37            ,128.946,-43.61,0.034,101,-3.484,3.953,0.243,NN            ,8.24,3.4,13.03,4038,-537,-4000,-125,9737,Cl VDBH 37                     ,128.946,-43.61
BH_54            ,132.413,-44.353,0.048,42,-4.759,5.244,0.42,NN            ,6.94,2.53,11.76,2245,-216,-2235,-10,8843,Cl VDBH 54                     ,132.413,-44.353
BH_55            ,134.042,-39.518,0.048,60,-3.971,3.118,0.185,NN            ,9.36,1.22,13.4,4783,-703,-4721,312,10201,Cl VDBH 55                     ,134.042,-39.518
BH_56            ,134.355,-43.181,0.215,109,-5.57,5.439,1.078,NN            ,7.25,0.7,9.62,840,-81,-836,22,8462,Cl VDBH 56                     ,134.355,-43.181
BH_66            ,141.314,-54.719,0.023,27,-4.157,3.599,0.097,NN            ,8.86,1.38,14,6301,657,-6258,-331,9908,Cl VDBH 66                     ,141.314,-54.719
BH_67            ,141.687,-51.273,0.025,43,-3.64,2.811,0.098,NN            ,8.79,3,14.56,8167,536,-8149,-54,11283,Cl VDBH 67                     ,141.687,-51.273
BH_72            ,142.838,-53.04,0.023,55,-4.621,3.299,0.11,NN            ,8.35,2.53,13.83,5844,559,-5816,-120,9714,Cl VDBH 72                     ,142.838,-53.04
BH_73            ,142.981,-50.225,0.014,54,-3.574,2.306,0.105,NN            ,8.87,2.73,14.13,6708,425,-6693,110,10365,Cl VDBH 73                     ,142.981,-50.225
BH_78            ,145.952,-56.574,0.013,46,-3.69,2.71,0.15,NN            ,8.53,3.15,13.66,5400,861,-5325,-246,9181,Cl VDBH 78                     ,145.952,-56.574
BH_84            ,150.331,-58.218,0.024,57,-4.848,3.289,0.2,NN            ,8.13,2.09,13.24,4449,928,-4347,-187,8592,Cl VDBH 84                     ,150.331,-58.218
BH_85            ,150.469,-49.564,0.031,74,-5.689,4.676,0.106,NN            ,9.36,1.1,14.37,7481,897,-7403,592,10497,Cl VDBH 85                     ,150.469,-49.564
BH_87            ,151.148,-55.386,0.066,177,-6.335,2.626,0.416,NN            ,8.07,1.36,11.63,2121,394,-2084,4,8214,Cl VDBH 87                     ,151.148,-55.386
BH_90            ,153.064,-58.069,0.043,126,-5.385,2.295,0.369,NN            ,8.1,1.39,12.23,2792,634,-2718,-70,8170,Cl VDBH 90                     ,153.064,-58.069
BH_92            ,154.779,-56.425,0.02,41,-5.896,3.446,0.388,NN            ,8.33,1.33,11.89,2384,535,-2323,17,8142,Cl VDBH 92                     ,154.779,-56.425
BH_99            ,159.553,-59.168,0.537,371,-14.494,0.919,2.225,NN            ,7.98,0.34,8.35,467,133,-447,-4,8218,Cl VDBH 99                     ,159.5531,-59.168
Barkhatova_1     ,313.398,46.037,0.072,47,-2.44,-4.478,0.476,NN            ,8.42,1.18,11.71,2195,145,2190,31,8482,Name Cl Barkhatova 1           ,313.398,46.037
Basel_1          ,282.036,-5.876,0.07,79,-0.079,-4.509,0.525,NN            ,8.36,1.24,11.33,1846,1639,846,-62,6754,Cl Basel 1                     ,282.036,-5.876
Basel_10         ,34.878,58.304,0.032,8,-0.48,-0.815,0.442,NN            ,7.85,1.66,11.83,2327,-1623,1663,-105,10101,Cl Basel 10                    ,34.878,58.304
Basel_11a        ,109.296,-13.988,0.078,92,-1.581,0.929,0.709,NN            ,7.98,0.33,10.67,1363,-907,-1017,-18,9302,Cl Basel 11a                   ,109.296,-13.988
Basel_11b        ,89.547,21.965,0.065,73,1.046,-4.137,0.534,NN            ,8.36,1.56,11.27,1793,-1778,-232,-34,10121,Cl Basel 11b                   ,89.547,21.965
Basel_17         ,167.65,-59.047,0.091,18,-6.628,2.174,0.438,NN            ,8.02,0.45,11.81,2305,798,-2162,53,7845,Cl Basel 17                    ,167.6501,-59.047
Basel_18         ,201.967,-62.306,0.06,49,-5.008,-2.05,0.508,NN            ,7.44,0.65,11.35,1863,1125,-1485,8,7366,Cl Basel 18                    ,201.967,-62.306
Basel_4          ,87.242,30.19,0.033,45,0.835,-1.801,0.286,NN            ,8.05,1.48,12.61,3322,-3321,40,73,11661,Cl Basel 4                     ,87.242,30.19
Basel_8          ,98.55,8.005,0.309,14,-0.129,-2.373,0.625,NN            ,7.84,0.64,10.9,1510,-1381,-610,-4,9740,Cl Basel 8                     ,98.55,8.005
Berkeley_1       ,2.449,60.476,0.036,48,-2.758,-0.173,0.235,NN            ,8.48,1.52,12.89,3779,-1762,3340,-130,10640,Cl Berkeley 1                  ,2.449,60.476
Berkeley_10      ,54.894,66.486,0.082,179,-1.47,1.047,0.372,NN            ,9.08,1.94,11.87,2365,-1753,1544,365,10211,Cl Berkeley 10                 ,54.894,66.486
Berkeley_100     ,351.485,63.781,0.022,31,-3.372,-1.557,0.123,NN            ,9.09,2.48,13.92,6084,-2439,5567,261,12132,Cl Berkeley 100                ,351.485,63.781
Berkeley_101     ,353.213,64.209,0.024,38,-1.899,-1.089,0.177,NN            ,8.58,2.84,13.15,4272,-1770,3883,196,10830,Cl Berkeley 101                ,353.213,64.209
Berkeley_102     ,354.66,56.637,0.049,21,-1.559,-0.34,0.05,NN            ,9.59,1.11,15.11,10519,-4096,9648,-885,15740,Cl Berkeley 102                ,354.66,56.637
Berkeley_103     ,356.303,59.297,0.022,33,-1.348,-0.861,0.093,NN            ,9.04,2.4,13.91,6060,-2516,5506,-263,12173,Cl Berkeley 103                ,356.303,59.297
Berkeley_104     ,0.865,63.587,0.038,47,-2.392,0.09,0.198,NN            ,8.89,1.36,13.18,4325,-2005,3831,91,11032,Cl Berkeley 104                ,0.865,63.587
Berkeley_11      ,65.126,44.922,0.038,76,1.08,-1.883,0.322,NN            ,7.84,2.51,12.42,3050,-2803,1186,-194,11206,Cl Berkeley 11                 ,65.126,44.922
Berkeley_12      ,71.1,42.691,0.036,76,0.836,-1.713,0.202,NN            ,9.3,2.16,13.17,4298,-4077,1353,-151,12490,Cl Berkeley 12                 ,71.1,42.691
Berkeley_13      ,73.943,52.809,0.065,135,-0.078,0.558,0.208,NN            ,8.69,2.09,12.99,3958,-3570,1659,408,12025,Cl Berkeley 13                 ,73.943,52.809
Berkeley_14      ,74.935,43.488,0.051,189,1.504,0.426,0.187,NN            ,9.43,1.4,13.47,4933,-4712,1458,56,13134,Cl Berkeley 14                 ,74.935,43.488
Berkeley_14A     ,75.278,43.429,0.426,4,-0.225,-2.741,0.882,notEnoughStars,     ,     ,     ,      ,       ,       ,      ,      ,                               ,75.278,43.429
Berkeley_15      ,75.52,44.506,0.06,114,0.782,-0.872,0.339,NN            ,7.27,2.64,12.36,2958,-2816,901,83,11192,Cl Berkeley 15                 ,75.52,44.506
Berkeley_17      ,80.13,30.574,0.071,254,2.618,-0.35,0.281,NN            ,9.86,1.63,12.62,3341,-3325,252,-214,11668,Cl Berkeley 17                 ,80.13,30.574
Berkeley_18      ,80.531,45.442,0.117,253,0.849,-0.057,0.152,NN            ,9.64,1.53,13.75,5632,-5382,1585,493,13813,Cl Berkeley 18                 ,80.531,45.442
Berkeley_19      ,81.014,29.575,0.037,45,0.757,-0.329,0.135,NN            ,9.34,0.85,14.09,6568,-6546,352,-413,14890,Cl Berkeley 19                 ,81.014,29.575
Berkeley_2       ,6.319,60.392,0.027,73,-1.101,-0.304,0.117,NN            ,8.77,2.34,14.2,6928,-3430,6012,-279,13217,Cl Berkeley 2                  ,6.319,60.392
Berkeley_20      ,83.152,0.185,0.015,37,0.808,-0.244,0.04,NN            ,9.68,0.37,14.7,8728,-7639,-3319,-2606,16320,Cl Berkeley 20                 ,83.152,0.185
Berkeley_21      ,87.93,21.812,0.031,27,0.562,-1.051,0.159,NN            ,9.33,1.96,14.04,6417,-6366,-761,-278,14726,Cl Berkeley 21                 ,87.93,21.812
Berkeley_22      ,89.618,7.763,0.022,18,0.648,-0.473,0.069,NN            ,9.39,1.99,13.97,6225,-5796,-2095,-874,14291,Cl Berkeley 22                 ,89.618,7.763
Berkeley_23      ,98.318,20.535,0.038,91,-0.055,-1.339,0.151,NN            ,9.02,0.83,13.67,5425,-5271,-1177,509,13661,Cl Berkeley 23                 ,98.318,20.535
Berkeley_24      ,99.452,-0.874,0.051,218,0.382,1.279,0.156,NN            ,9.15,1.74,13.45,4900,-4141,-2603,-293,12749,Cl Berkeley 24                 ,99.452,-0.874
Berkeley_25      ,100.317,-16.487,0.019,20,-0.114,0.845,0.077,NN            ,9.39,1.07,14.16,6780,-4591,-4858,-1134,13814,Cl Berkeley 25                 ,100.317,-16.487
Berkeley_27      ,102.837,5.772,0.02,54,-1.091,0.147,0.19,NN            ,9.23,1.23,13.42,4835,-4273,-2251,220,12812,Cl Berkeley 27                 ,102.837,5.772
Berkeley_28      ,103.028,2.922,0.021,53,-0.987,0.154,0.209,NN            ,8.54,1.6,13.4,4789,-4129,-2423,123,12702,Cl Berkeley 28                 ,103.028,2.922
Berkeley_29      ,103.268,16.93,0.014,11,0.151,-1.01,0.023,NN            ,9.49,0.24,15.5,12604,-11874,-3846,1750,20577,Cl Berkeley 29                 ,103.268,16.93
Berkeley_30      ,104.438,3.229,0.024,85,-0.252,-0.33,0.164,NN            ,8.47,1.27,13.66,5383,-4619,-2751,270,13248,Cl Berkeley 30                 ,104.438,3.229
Berkeley_31      ,104.406,8.285,0.031,95,0.169,-0.926,0.141,NN            ,9.45,0.35,14.28,7177,-6412,-3160,642,15087,Cl Berkeley 31                 ,104.406,8.285
Berkeley_32      ,104.53,6.433,0.063,361,-0.335,-1.608,0.28,NN            ,9.69,0.34,12.44,3072,-2706,-1436,236,11139,Cl Berkeley 32                 ,104.53,6.433
Berkeley_33      ,104.456,-13.227,0.032,126,-0.73,1.551,0.144,NN            ,8.37,1.75,13.84,5851,-4092,-4156,-469,13108,Cl Berkeley 33                 ,104.456,-13.227
Berkeley_34      ,105.097,-0.239,0.024,30,-1.336,0.175,0.097,NN            ,9.38,1.64,14.41,7609,-6292,-4271,249,15243,Cl Berkeley 34                 ,105.097,-0.239
Berkeley_35      ,107.491,2.734,0.039,83,-0.58,-0.235,0.16,NN            ,9.07,0.43,13.38,4745,-3980,-2546,443,12580,Cl Berkeley 35                 ,107.491,2.734
