#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=B/ocl/clusters
#
"P","Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType","WEBDA","Lynga","recno","r_pmRA","r_RV"
"P","NGC 2682         ","08 51 18","+11 48 00","  ",25,808,0.03,9.45,-9.4,0.05,-4.87,0.04,399,"K14",33.62,0.08,148,0.03,0.02,10,"        ","WEBDA","Lynga",952,"D14","GLM"
" ","Chupina 3        ","08 51 27","+11 23 42","  ",2.9,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",953,"   ",
" ","ESO 211 03       ","08 51 34","-50 14 43","  ",5,3770,0.9,9.05,-2.91,0.32,4.4,0.49,52,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",954,"D14",
" ","FSR 1430         ","08 51 49","-44 15 47","IR",4,2840,2.5,8.85,0.26,0.4,2.8,0.75,22,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",955,"D14",
" ","Chupina 4        ","08 52 00","+12 22 42","  ",5,"     ","      ","      ",4.58,1.2,-14.11,0.31,2,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",956,"D14",
" ","ESO 371 25       ","08 53 00","-35 28 36","  ",3,2198,0.27,9.55,-5.84,0.41,2.95,0.31,35,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",957,"D14",
" ","Chupina 5        ","08 53 01","+11 51 42","  ",4.5,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",958,"   ",
" ","BH 55            ","08 56 11","-39 31 00","  ",2,4108,0.42,9.05,-4.9,1.23,6.97,1.23,20,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",959,"K14",
" ","BH 56            ","08 57 08","-43 15 00","  ",20,680,0.2,7.24,-3.51,0.26,4.91,0.44,150,"K14",-18,7.4,1,"      ","      ","  ","4-3-m-n ","WEBDA","Lynga",960,"D14","D14"
" ","Muzzio 1         ","08 57 12","-47 46 00","  ",10,1300,1.03,6.7,-4.22,0.13,4.56,0.17,95,"K14","       ","     ","   ","      ","      ","  ","2-2-m-* ","WEBDA","Lynga",961,"D14",
"P","Collinder 205    ","09 00 32","-48 59 00","  ",5,1853,0.75,7.2,-4.59,0.47,4.32,0.18,44,"K14",28.18,1.52,6,"      ","      ","  ","        ","WEBDA","Lynga",962,"D14","FM09"
" ","Ruprecht 73      ","09 01 10","-50 55 00","nf",3,1621,0.625,8.88,-4.04,0.37,4.79,0.42,34,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",963,"D14",
" ","Pismis 10        ","09 02 36","-43 38 00","nf",2,4767,1.27,6,-11.89,0.91,8.01,0.91,46,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",964,"K14",
" ","ESO 260 17       ","09 04 49","-46 02 30","  ",7,1366,0.9,7.85,0.15,0.38,4.14,0.37,83,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",965,"D14",
" ","ESO 165 09       ","09 05 15","-55 57 18","  ",15,450,0.05,8.96,-10.15,0.53,10.47,1.02,4,"K14","       ","     ","   ","      ","      ","  ","4-3-p-* ","WEBDA","Lynga",966,"K05",
" ","Platais 8        ","09 09 30","-59 07 42","  ",948,132,"      ",7.78,-15.67,0.19,15.83,0.2,8,"K14",17.32,3.09,5,-0.296,0.082,10,"        ","WEBDA","Lynga",967,"PLA","K07"
" ","BH 58            ","09 10 12","-56 16 00","nf",2,4131,1.926,8.775,-8.69,0.71,4.77,0.71,26,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",968,"K14",
" ","ESO 166 04       ","09 10 30","-53 53 12","d ",4,885,0.15,8.45,-4.33,0.27,3.06,0.3,69,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",969,"D14",
" ","ESO 261 03       ","09 11 23","-47 02 24","d ",10,1063,0.521,8.615,-2.88,0.32,3.17,0.31,90,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",970,"D14",
" ","Platais 9        ","09 13 47","-43 44 24","  ",396,174,"      ",8,-24.13,0.27,13.32,0.22,5,"K14",17.83,1.48,3,"      ","      ","  ","        ","WEBDA","Lynga",971,"PLA","K07"
"P","Pismis 11        ","09 15 53","-50 01 00","  ",2,3600,1.2,7,0.55,1.07,14.77,1.07,38,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",972,"K14",
"P","NGC 2818         ","09 16 01","-36 37 30","  ",9,1855,0.121,8.626,-4,0.22,5.27,0.23,242,"K14",20.69,0.28,12,-0.17,0.15,"  ","        ","WEBDA","Lynga",973,"D14","MMU"
" ","ESO 211 09       ","09 16 44","-50 17 06","  ",2,5823,1.12,9.05,-3.71,1,9.04,1,21,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",974,"K14",
" ","ASCC 51          ","09 18 00","-69 41 24","  ",79.2,500,0.05,8.53,-8.28,0.38,7,0.43,28,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",975,"K05",
" ","NGC 2849         ","09 19 23","-40 31 24","  ",3.5,6170,0.32,9,-5.61,0.13,6.93,0.08,70,"K14","       ","     ","   ","      ","      ","  ","2-1-m-* ","WEBDA","Lynga",976,"D14",
" ","ESO 314 14       ","09 19 41","-38 07 00","  ",10,1870,0.75,8.65,-6.02,0.45,5.58,0.29,174,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",977,"D14",
"P","Pismis 12        ","09 20 00","-45 07 00","  ",5,1714,0.27,9.4,-4.4,0.37,1.65,0.41,98,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",978,"D14",
" ","Ruprecht 159     ","09 20 18","-60 24 00","nf",2,6347,0.271,9.2,-3.56,0.81,9.43,0.81,93,"K14","       ","     ","   ","      ","      ","  ","2-3-p-* ","WEBDA","Lynga",979,"K14",
" ","Teutsch 48       ","09 20 31","-52 50 24","  ",5,7900,1.06,8.7,-0.74,0.38,6.32,0.52,111,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",980,"D14",
" ","BH 63            ","09 20 39","-49 13 23","  ",2.5,2300,1.9,8.84,-5.56,1.31,4.19,1.31,15,"K14","       ","     ","   ","      ","      ","  ","2-1-p-* ","WEBDA","Lynga",981,"K14",
" ","Ruprecht 74      ","09 21 03","-37 07 00","d ",2,3074,0.812,8.9,-5.43,1.52,3.25,1.52,22,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",982,"K14",
" ","Ruprecht 75      ","09 21 55","-56 19 00","  ",2,4300,0.24,9.15,-9.65,1.81,5.46,1.81,34,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",983,"K14",
"P","NGC 2866         ","09 22 07","-51 06 00","  ",2,2600,0.66,8.3,-8.28,1.28,5.2,1.31,10,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",984,"LOK",
" ","Majaess 114      ","09 22 20","-48 03 59","IR",4,"     ","      ","      ",12.94,0.46,6.41,0.75,3,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",985,"D14",
" ","FSR 1471         ","09 24 04","-47 20 56","IR",11,2700,1.22,9,1.15,0.65,7.45,0.03,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",986,"D14",
"P","Ruprecht 76      ","09 24 13","-51 40 00","  ",5,1262,0.376,7.734,-1.59,0.42,5.32,0.22,105,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",987,"D14",
" ","ESO 261 07       ","09 24 21","-44 42 18","  ",33,3360,1.145,9,-2.84,0.2,2.23,0.17,628,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",988,"D14",
" ","BH 66            ","09 25 18","-54 43 00","  ",4,7000,0.4,8.9,-0.82,0.44,-0.1,0.41,102,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",989,"D14",
" ","Miller 1         ","09 25 42","-53 14 00","  ",1,3910,0.38,9.3,1.19,0.92,-1.89,0.62,27,"K14","       ","     ","   ","      ","      ","  ","2-2-vp-*","WEBDA","Lynga",990,"D14",
" ","BH 67            ","09 26 45","-51 16 00","  ",4,7500,0.95,9.11,-6.38,0.52,3.86,0.35,64,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",991,"D14",
" ","Ruprecht 77      ","09 27 04","-55 07 00","  ",5,4129,0.622,7.501,1.12,0.31,-0.89,0.18,142,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",992,"D14",
"P","IC 2488          ","09 27 38","-57 00 00","  ",18,1134,0.231,8.113,-3.11,0.13,4.55,0.12,799,"K14",-1.84,1.52,3,0.1,0.06,"  ","        ","WEBDA","Lynga",993,"D14","FM09"
" ","ASCC 52          ","09 27 58","-54 15 36","  ",32.4,1500,0.04,8.75,-1.35,0.08,0.12,0.07,2397,"K14",14.1,0.3,1,"      ","      ","  ","        ","WEBDA","Lynga",994,"D14","D14"
" ","Teutsch 103      ","09 28 36","-46 36 00","  ",3,2790,0.62,8.75,-4.74,0.19,2.19,0.02,37,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",995,"D14",
" ","Ruprecht 78      ","09 29 10","-53 42 00","  ",3,1641,0.35,7.987,-2.14,0.63,-1.32,0.64,78,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",996,"D14",
" ","Pismis 14        ","09 29 51","-52 47 00","  ",1.5,1314,0.56,7.35,-3.69,1.13,4.79,0.74,25,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",997,"D14",
"P","NGC 2910         ","09 30 30","-52 55 06","  ",4,2607,0.336,8.203,-3.56,0.54,3.11,0.44,112,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",998,"D14",
" ","Basel 20         ","09 31 08","-56 25 00","  ",10,2024,0.406,7.419,-2.94,0.27,2.95,0.2,154,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",999,"D14",
" ","BH 72            ","09 31 24","-53 03 00","  ",2,3190,0.48,9.1,-2.75,0.6,9.98,0.6,55,"K14","       ","     ","   ","      ","      ","  ","2-1-p-* ","WEBDA","Lynga",1000,"K14",
" ","BH 73            ","09 31 56","-50 13 00","  ",1.5,5557,0.67,9.1,-3.04,0.84,3.71,0.76,27,"K14","       ","     ","   ","      ","      ","  ","2-1-p-* ","WEBDA","Lynga",1001,"D14",
"P","NGC 2925         ","09 33 11","-53 23 54","  ",10,774,0.08,7.85,-8.94,0.44,5.3,0.44,32,"K14",12.2,0.59,3,"      ","      ","  ","        ","WEBDA","Lynga",1002,"TYC","MMU"
" ","Teutsch 66       ","09 33 30","-52 22 51","  ",3.6,5510,1.15,8.3,-7.22,0.36,3.63,0.56,57,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1003,"D14",
" ","Turner 5         ","09 33 51","-36 36 54","  ",180,400,0.1,8.49,0,0.33,-3.73,0.3,42,"K14",26.2,3.7,1,-0.21,0.063,3,"        ","WEBDA","Lynga",1004,"K05","K07"
" ","Pismis 15        ","09 34 45","-48 02 00","  ",3.6,2900,0.53,9.11,-4.67,0.48,4.9,0.48,82,"K14","       ","     ","   ",-0.38,0.25,"  ","2-1-p-* ","WEBDA","Lynga",1005,"D14",
" ","BH 75            ","09 34 48","-54 42 00","  ",3,2500,0.54,8.25,-1.37,0.4,1.83,0.21,48,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",1006,"D14",
" ","ESO 315 14       ","09 35 25","-39 32 00","  ",3,1789,0.62,7.85,1.05,0.86,-3.47,1,16,"K14","       ","     ","   ","      ","      ","  ","2-3-vp-*","WEBDA","Lynga",1007,"D14",
" ","FSR 1500         ","09 37 53","-53 57 44","IR",2.7,1380,0.562,8.58,-0.28,1.49,3.43,1.49,46,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1008,"K14",
" ","ASCC 53          ","09 37 55","-59 33 00","  ",37.2,2500,0.15,8.12,-2.48,0.05,3.1,0.05,3049,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1009,"D14",
" ","SAI 108          ","09 38 53","-52 57 28","  ",6,2910,0.66,8.5,-0.18,0.29,0.14,0.31,132,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1010,"D14",
"P","NGC 2972         ","09 40 12","-50 19 24","  ",3,2062,0.343,7.968,-3.64,0.42,5.31,0.4,81,"K14",20.89,0.26,3,-0.073,0.02,3,"        ","WEBDA","Lynga",1011,"D14","MMU"
" ","Hogg 1           ","09 40 33","-50 35 00","d ",6,1594,0.583,8.635,-6.13,0.28,3.57,0.36,122,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",1012,"D14",
"P","Ruprecht 79      ","09 40 59","-53 51 00","  ",5,1979,0.717,7.093,-3.66,0.33,-0.68,0.29,187,"K14",21.4,1.2,"   ","      ","      ","  ","        ","WEBDA","Lynga",1013,"D14","RGDZ"
" ","NGC 2982         ","09 42 01","-44 01 12","n ",5,2624,0.4,8.3,-9.11,0.3,5.57,0.32,71,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1014,"D14",
" ","Ruprecht 80      ","09 42 03","-44 01 00","  ",12,2500,0.3,8.33,-8.79,0.23,4.61,0.2,292,"K14",45.75,1,1,-0.373,0.1,1,"3-1-p-* ","WEBDA","Lynga",1015,"D14","RAVE"
" ","FSR 1496         ","09 43 02","-52 07 28","IR",1.5,2290,0.625,9.35,-4.21,0.79,3.65,1.06,34,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1016,"D14",
" ","FSR 1496         ","09 43 02","-52 07 28","IR",1.5,2290,0.625,9.35,-4.21,0.79,3.65,1.06,34,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1017,"D14",
" ","SAI 109          ","09 43 34","-50 47 33","  ",5,7690,0.23,9.2,-6.79,0.27,3.33,0.1,92,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1018,"D14",
" ","BH 78            ","09 43 42","-56 33 00","  ",1.5,4602,1,8.6,0.13,0.65,1.3,0.02,21,"K14","       ","     ","   ","      ","      ","  ","2-1-p-* ","WEBDA","Lynga",1019,"D14",
" ","ASCC 54          ","09 44 46","-54 26 24","  ",26.4,1200,0.05,8.84,-7.73,0.47,1.08,0.53,21,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1020,"K05",
" ","Ruprecht 81      ","09 45 12","-44 06 00","d ",5,3009,0.645,8.98,-8.12,0.4,4.37,0.41,63,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1021,"D14",
" ","Ruprecht 82      ","09 45 46","-54 00 00","  ",5,2455,0.29,8.5,-4.97,0.29,0.39,0.24,124,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1022,"D14",
" ","FSR 1509         ","09 48 01","-55 04 01","IR",2,2080,1.17,8.75,-9.71,0.62,2.42,0.62,105,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1023,"K14",
"P","NGC 3033         ","09 48 37","-56 25 18","  ",4,922,0.327,7.845,-1.61,0.7,0.51,0.48,107,"K14",27.15,0.09,1,"      ","      ","  ","        ","WEBDA","Lynga",1024,"D14","MMU"
" ","Ruprecht 84      ","09 49 08","-65 15 00","  ",4,1800,0.1,8.56,-6.48,0.4,2.32,0.42,80,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",1025,"D14",
" ","Ruprecht 83      ","09 49 15","-54 36 00","  ",3,2459,0.453,8.45,-5.1,0.39,-1.4,0.3,87,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1026,"D14",
" ","NGC 3036         ","09 49 16","-62 40 18","  ",4,1200,0.4,8.61,-4.47,0.57,2.09,0.54,76,"K14",11.78,1,1,-0.714,0.09,1,"3-2-p-* ","WEBDA","Lynga",1027,"D14","RAVE"
"P","Pismis 16        ","09 51 16","-53 10 00","  ",2,1824,0.557,7.839,-6.55,0.92,1.7,0.99,6,"K14",21,9,2,"      ","      ","  ","        ","WEBDA","Lynga",1028,"KHA","K07"
" ","Hogg 2           ","09 51 32","-56 19 00","nf",6,1819,0.625,8.2,-2.76,0.37,0.4,0.34,131,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1029,"D14",
" ","ASCC 55          ","09 54 18","-57 04 48","  ",27.6,1100,0.19,8.45,-3.21,0.11,1.03,0.09,1424,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1030,"D14",
" ","Collinder 213    ","09 54 43","-50 55 00","  ",17,1400,0.07,8.84,-3.66,0.14,2.48,0.13,763,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1031,"D14",
" ","ESO 435 09       ","09 55 33","-28 59 12","  ",14,2255,0.729,8.425,-5.16,0.59,1.41,0.55,101,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1032,"D14",
" ","Ruprecht 160     ","09 56 22","-47 02 00","  ",2,2187,0.625,8.62,-0.86,1.25,3.3,0.89,38,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",1033,"D14",
" ","ESO 435 17       ","09 58 45","-30 54 36","d ",4,3603,0.052,9.285,-5.11,1.1,1.1,0.63,21,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1034,"D14",
" ","FSR 1518         ","09 59 29","-54 31 04","IR",2.7,1819,0.625,7.6,-4.09,0.84,2.38,0.84,78,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1035,"K14",
"P","NGC 3105         ","10 00 39","-54 47 18","  ",2,8530,0.95,7.3,-4.64,1.13,-2.02,1.13,51,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1036,"K14",
" ","BH 84            ","10 01 19","-58 13 00","  ",4,3370,0.63,8.75,-6.3,0.39,4.08,0.57,71,"K14","       ","     ","   ","      ","      ","  ","1-2-p-* ","WEBDA","Lynga",1037,"D14",
" ","Ruprecht 85      ","10 01 26","-55 07 00","  ",3,1400,0.21,8.7,-6.75,0.22,-0.84,0.37,91,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1038,"D14",
" ","Ruprecht 86      ","10 01 36","-59 28 00","nf",12,7173,0.999,8.8,-0.9,0.16,4.19,0.11,517,"K14","       ","     ","   ","      ","      ","  ","3-2-m-* ","WEBDA","Lynga",1039,"D14",
" ","BH 85            ","10 01 52","-49 34 00","  ",3,1501,0.23,8.85,-4.2,0.9,7.57,0.7,56,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1040,"D14",
"P","NGC 3114         ","10 02 36","-60 07 12","  ",35,911,0.069,8.093,-2.22,0.06,2.47,0.05,4053,"K14",-1.72,0.13,7,0.02,0.09,3,"        ","WEBDA","Lynga",1041,"D14","MMU"
" ","Loden 28         ","10 03 12","-58 09 00","d ",20,3950,0.62,7.3,-5.75,0.11,2.76,0.08,1013,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",1042,"D14",
" ","ESO 092 05       ","10 03 14","-64 45 12","d ",5,5168,0.104,9.3,-6.56,0.28,3.79,0.19,80,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1043,"D14",
" ","ESO 435 33       ","10 03 54","-32 03 12","  ",3,2860,1.04,8.15,-5.17,1.46,-0.5,0.66,16,"K14","       ","     ","   ","      ","      ","  ","4-3-p-* ","WEBDA","Lynga",1044,"D14",
" ","BH 87            ","10 04 18","-55 26 00","  ",3,1203,0.38,8.4,-7.74,0.52,0.3,0.24,45,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1045,"D14",
" ","Schuster 1       ","10 04 39","-55 51 29","  ",1.3,5212,2.52,8.35,-9.38,1.33,-0.31,0.03,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1046,"D14",
"P","Trumpler 11      ","10 04 54","-61 36 00","  ",5,3100,0.21,"      ",-3.03,0.25,0.09,0.06,149,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1047,"D14",
" ","Loden 1          ","10 05 03","-55 48 00","d ",21,360,0.1,9.29,-8.3,0.17,1.04,0.12,559,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",1048,"D14",
" ","Hogg 5           ","10 06 21","-60 23 00","  ",3,2622,0.56,8.2,-4.6,0.44,2.03,0.28,96,"K14","       ","     ","   ","      ","      ","  ","1-3-r-* ","WEBDA","Lynga",1049,"D14",
"P","Trumpler 12      ","10 06 29","-60 18 00","  ",4,1300,0.05,8.81,-3.82,0.08,1.75,0.19,161,"K14","       ","     ","   ","      ","      ","  ","2-3-p-* ","WEBDA","Lynga",1050,"D14",
" ","BH 88            ","10 06 30","-51 34 00","  ",4,1770,0.6,8.1,-4.82,0.32,3.94,0.26,85,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",1051,"D14",
" ","Hogg 6           ","10 06 37","-60 30 00","nf",3,1600,0.05,8.61,-3.04,0.38,0.74,0.31,101,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1052,"D14",
" ","FSR 1535         ","10 07 55","-59 11 49","IR",2.2,1602,0.396,8.865,-7.45,0.66,6.66,0.66,90,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1053,"K14",
" ","ASCC 56          ","10 08 13","-64 22 12","  ",42,800,0.11,8.08,-7.29,0.06,4.15,0.05,4022,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1054,"D14",
" ","Ruprecht 161     ","10 08 46","-61 15 00","d ",32,940,0.09,8.39,-3.54,0.06,1.62,0.05,3558,"K14",9.4,3.7,1,"      ","      ","  ","3-2-p-* ","WEBDA","Lynga",1055,"D14","K07"
" ","ESO 435 48       ","10 09 35","-28 21 30","d ",4,1819,0.625,8.7,-8.1,1.3,2.93,1.17,19,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1056,"D14",
" ","ASCC 57          ","10 10 48","-66 40 48","  ",45.6,1500,0.13,8.7,-7.85,0.07,3.71,0.06,3620,"K14",2.46,7.31,6,-0.296,0.076,3,"        ","WEBDA","Lynga",1057,"D14","RAVE"
" ","Loden 27         ","10 11 06","-56 36 00","d ",3.5,2628,0.937,6.6,-2.3,0.57,-12.25,0.42,15,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",1058,"D14",
" ","BH 90            ","10 12 10","-58 04 00","  ",4,2572,0.526,7.943,-0.22,0.43,2.86,0.27,102,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1059,"D14",
" ","ESO 436 02       ","10 14 03","-29 11 24","  ",5,2150,0.83,8.25,-20.48,1.37,-1.44,0.74,14,"K14","       ","     ","   ","      ","      ","  ","4-3-p-* ","WEBDA","Lynga",1060,"D14",
" ","ESO 092 18       ","10 14 58","-64 36 42","  ",5,10607,0.5,9.024,-5.41,0.41,3.93,0.4,143,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1061,"D14",
" ","ASCC 58          ","10 15 07","-54 58 12","  ",48,600,0.09,7.04,-12.89,0.51,3.15,0.42,24,"K14",8,0,1,"      ","      ","  ","        ","WEBDA","Lynga",1062,"K05","K05"
" ","Ruprecht 87      ","10 15 32","-50 43 00","  ",4,5254,0.458,8.985,-5.91,0.36,1.23,0.33,129,"K14","       ","     ","   ","      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1063,"D14",
" ","BH 91            ","10 17 18","-58 42 00","  ",5,740,0.08,8.21,-3.28,0.23,2.13,0.18,172,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1064,"D14",
" ","Ruprecht 88      ","10 18 55","-63 08 00","  ",5,1876,0.416,8.98,-5.74,0.44,2.06,0.47,107,"K14","       ","     ","   ","      ","      ","  ","3-2-m-* ","WEBDA","Lynga",1065,"D14",
" ","BH 92            ","10 19 07","-56 25 00","  ",2,1249,0.2,"      ",-3.16,1.12,5.28,0.79,5,"K14","       ","     ","   ","      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1066,"KHA",
" ","ASCC 59          ","10 20 13","-57 39 00","  ",42,550,0.05,8.6,-4.99,0.49,3.65,0.43,30,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1067,"K05",
"P","NGC 3228         ","10 21 22","-51 43 42","  ",5,544,0.028,7.932,-15.64,0.43,-0.05,0.38,4,"K14",-22.39,0.15,1,0.03,0.1,"  ","        ","WEBDA","Lynga",1068,"BDW","MMU"
" ","Teutsch 44       ","10 21 24","-54 27 02","  ",4,7410,0.64,8.84,-3.15,0.44,-0.58,0.36,107,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1069,"D14",
" ","ESO 062 08       ","10 21 39","-69 20 06","  ",5,1983,0.042,9.44,-6.77,0.29,2.39,0.39,70,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1070,"D14",
" ","SAI 113          ","10 22 44","-59 30 20","  ",2,2025,0.833,8.96,-5.74,1.13,1.85,1.13,78,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1071,"K14",
" ","Loden 46         ","10 23 00","-54 48 00","nf",38,540,0.14,9.03,-5.6,0.06,-0.7,0.05,3839,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1072,"D14",
" ","Trumpler 13      ","10 23 48","-60 08 00","  ",5,2400,0.3,8.5,-5.62,0.28,0.88,0.34,235,"K14",-10.8,"     ",1,"      ","      ","  ","2-2-m-* ","WEBDA","Lynga",1073,"D14","K14"
"P","Westerlund 2     ","10 24 02","-57 46 00","  ",2,2850,1.65,6.3,-6.77,1.18,4.84,1.18,51,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1074,"K14",
" ","Collinder 220    ","10 25 52","-57 55 36","  ",9.5,1547,0.221,8.083,-3.57,0.2,1.89,0.14,371,"K14",-13,0.2,1,"      ","      ","  ","        ","WEBDA","Lynga",1075,"D14","MMU"
"P","NGC 3255         ","10 26 31","-60 40 36","  ",2,1445,0.25,8.3,-4.4,1.27,-2.08,1.27,52,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1076,"K14",
"P","IC 2581          ","10 27 29","-57 37 00","  ",5,2446,0.415,7.142,-5.61,0.3,1.75,0.28,150,"K14",-0.52,1.06,2,-0.34,0.06,"  ","        ","WEBDA","Lynga",1077,"D14","D14"
" ","NGC 3231         ","10 27 29","+66 47 54","  ",7,715,0.02,9.15,-3.86,1.16,-0.21,1.34,14,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1078,"D14",
" ","Ruprecht 89      ","10 28 26","-58 11 00","nf",4,750,0.04,8.98,-4.12,0.29,1.3,0.25,104,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",1079,"D14",
